"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: impl","Param: itemCount"
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",1,15,"3,053149","0,008884","ms/op",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",1,15,"0,042017","0,000176","ms/op",JDK,10000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",1,15,"0,625708","0,003181","ms/op",JDK,100000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",1,15,"5,375544","0,070993","ms/op",JDK,1000000
"org.example.performance.HashMapBenchmark.mergeAvg","avgt",1,15,"6,327194","0,040777","ns/op",SIMPLE,10000
"org.example.performance.HashMapBenchmark.mergeAvg","avgt",1,15,"7,231031","0,083734","ns/op",SIMPLE,100000
"org.example.performance.HashMapBenchmark.mergeAvg","avgt",1,15,"8,285060","0,393904","ns/op",SIMPLE,1000000
"org.example.performance.HashMapBenchmark.mergeAvg","avgt",1,15,"12,254261","0,129933","ns/op",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.mergeAvg","avgt",1,15,"14,980628","0,293309","ns/op",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.mergeAvg","avgt",1,15,"15,598895","0,334785","ns/op",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.mergeAvg","avgt",1,15,"6,685923","0,079968","ns/op",JDK,10000
"org.example.performance.HashMapBenchmark.mergeAvg","avgt",1,15,"7,993706","0,119555","ns/op",JDK,100000
"org.example.performance.HashMapBenchmark.mergeAvg","avgt",1,15,"9,026068","0,318514","ns/op",JDK,1000000
"org.example.performance.HashMapBenchmark.mixedAvg","avgt",1,15,"2,624506","0,070595","ns/op",SIMPLE,10000
"org.example.performance.HashMapBenchmark.mixedAvg","avgt",1,15,"3,228014","0,112605","ns/op",SIMPLE,100000
"org.example.performance.HashMapBenchmark.mixedAvg","avgt",1,15,"3,766726","0,081645","ns/op",SIMPLE,1000000
"org.example.performance.HashMapBenchmark.mixedAvg","avgt",1,15,"6,035285","0,802052","ns/op",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.mixedAvg","avgt",1,15,"7,503882","0,148535","ns/op",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.mixedAvg","avgt",1,15,"7,899160","0,184682","ns/op",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.mixedAvg","avgt",1,15,"3,340983","0,093809","ns/op",JDK,10000
"org.example.performance.HashMapBenchmark.mixedAvg","avgt",1,15,"3,978099","0,094732","ns/op",JDK,100000
"org.example.performance.HashMapBenchmark.mixedAvg","avgt",1,15,"4,605924","0,141324","ns/op",JDK,1000000
"org.example.performance.HashMapBenchmark.putAvg","avgt",1,15,"2,957931","0,070363","ns/op",SIMPLE,10000
"org.example.performance.HashMapBenchmark.putAvg","avgt",1,15,"4,397597","0,240757","ns/op",SIMPLE,100000
"org.example.performance.HashMapBenchmark.putAvg","avgt",1,15,"4,658040","0,090636","ns/op",SIMPLE,1000000
"org.example.performance.HashMapBenchmark.putAvg","avgt",1,15,"12,376500","0,819970","ns/op",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.putAvg","avgt",1,15,"14,692018","0,573442","ns/op",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.putAvg","avgt",1,15,"16,462894","0,619038","ns/op",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.putAvg","avgt",1,15,"6,409317","0,181720","ns/op",JDK,10000
"org.example.performance.HashMapBenchmark.putAvg","avgt",1,15,"10,159010","0,161564","ns/op",JDK,100000
"org.example.performance.HashMapBenchmark.putAvg","avgt",1,15,"13,742118","0,237031","ns/op",JDK,1000000
